is                            copula                    	pres                          s3
is                            copula_q                    	pres                          s3
is                            copula_whq                  	pres                          s3
square                          count                       square                        s3                            shape
circle                          count                       circle                        s3                            shape
triangle						count						triangle					  s3							shape
blue                            adj	                       	blue						  color
red							    adj							red							  color
green							adj							green						  color
purple							adj							purple						  color
yellow							adj							yellow						  color
orange							adj							orange						  color
black							adj							black						  color
this						  det_demonst					here						  s3
that						  det_demonst					there					      s3
this						  demonst  						this						  s3							obj
that						  demonst						that						  s3							obj
see							  v_tran_fin					see							  pres                          nons3
see							  v_tran_inf					see							  inf							per
sees						  v_tran_fin					see							  pres							s3
can 						  v_aux_inf                     can                           pres                          nons3
do						      v_aux_inf                     do                            pres                          nons3
//the                         det_quant                     iota
//the                         det_def_postcop               iota
it							  pron_nom						s3							  obj
it							  pron_acc						s3							  obj
a                             det_indef                     eps
an                            det_indef                     eps
a                             det_indef_postcop				eps
an                            det_indef_postcop				eps
what                          pron_whq                      obj
what						  pron_whq_cop					obj
what						  pron_whq_det_cop				meta_cn
color						  cn_meta_cat					color
shape						  cn_meta_cat					shape
//which						  pron_whq						obj
.							  assert						A
?							  question						Q
//uhu							  accept						uhu
ok							  accept						ok
yes							  yes							yes
yes							  accept						yes
okay						  accept						okay
yeah						  accept						yeah
//wow							  accept						wow
//right						  accept						right
no							  reject						not
//i                             i		                        s1                            spkr
you							  proper						system							  s2
